,Mean,StdDev,5%,95%,ESS_bulk,ESS_tail,R_hat
alpha_std[38],0.697331,0.0153595,0.671839,0.722274,6684.21,6777.14,1.00025
alpha_std[39],0.649563,0.0152436,0.624747,0.674732,6099.01,5884.68,1.00076
alpha_std[40],0.872338,0.0157435,0.846261,0.897995,6815.76,6404.52,1.0004
alpha_std[41],0.807253,0.0153503,0.78225,0.832659,7083.24,6901.77,1.00031
alpha_std[42],0.0126663,0.0149011,-0.011545,0.0371425,7503.32,6098.8,1.00052
alpha_std[43],-0.0974699,0.0148373,-0.121769,-0.073214,6801.85,4778.29,1.00023
alpha_std[44],0.982014,0.0160853,0.955788,1.0093,8701.52,5782.53,1.0
alpha_std[45],0.951957,0.015767,0.925757,0.977803,6659.94,6721.3,1.00015
alpha_std[46],0.484827,0.0153375,0.459627,0.509873,5285.42,4983.77,0.999871
alpha_std[47],0.417394,0.0147617,0.39331,0.441579,7387.74,6397.62,1.00138
alpha_std[48],-0.287125,0.017062,-0.315332,-0.259548,7581.9,6160.53,1.0001
alpha_std[49],0.418195,0.0148607,0.393503,0.443065,6347.75,5830.29,1.00109
alpha_std[50],0.745408,0.0156377,0.719458,0.770522,6092.0,5798.56,1.00057
alpha_std[51],1.26309,0.0163965,1.23556,1.29024,7999.7,6535.8,1.00038
alpha_std[52],0.983394,0.015693,0.957535,1.00927,6408.2,5255.33,1.00029
alpha_std[53],-0.274664,0.0155474,-0.300023,-0.249111,6320.88,6071.1,1.00057
alpha_std[54],-0.101618,0.0149327,-0.125854,-0.0772068,7189.37,6441.01,1.00013
alpha_std[55],0.0750209,0.0147891,0.0507427,0.0998201,6385.11,4990.38,1.00055
alpha_std[56],0.176215,0.0147128,0.151512,0.200283,7215.88,6267.6,1.00054
alpha_std[57],0.432727,0.0147287,0.408656,0.457091,5915.33,5821.96,1.00072
alpha_std[58],0.464213,0.0147295,0.439828,0.488959,7396.33,6137.11,1.00133
alpha_std[59],-0.197927,0.0157781,-0.223682,-0.171708,5901.41,6127.9,1.00023
alpha_std[60],-0.381328,0.0157359,-0.407346,-0.355106,6790.01,5913.31,1.00047
alpha_std[61],0.280108,0.0145979,0.25565,0.303955,6625.14,6217.75,1.00024
alpha_std[62],0.255232,0.0147364,0.231251,0.279556,7008.38,6144.34,1.00088
alpha_std[63],0.330236,0.0144971,0.306141,0.354038,6722.75,4640.59,1.00056
alpha_std[64],0.274661,0.0149571,0.250406,0.299205,7539.36,6382.47,1.0005
