,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
alpha_std[8],0.0225245,0.000176579,0.014727,0.0148524,-0.00196713,0.0226269,0.0466237,6964.83,5913.97,1.00074
alpha_std[9],0.497116,0.000190071,0.0151248,0.0149891,0.472147,0.497159,0.521638,6442.08,6368.97,1.00001
alpha_std[10],0.481191,0.000202118,0.0153395,0.0152396,0.456013,0.481329,0.50615,5897.14,5840.16,1.00018
alpha_std[11],0.539031,0.000179541,0.0152419,0.0153523,0.513962,0.539041,0.564288,7591.73,6779.31,1.00023
alpha_std[12],0.533755,0.000176761,0.0149515,0.0150714,0.509066,0.53367,0.558501,7205.87,5857.97,1.00052
alpha_std[13],0.950659,0.000141207,0.0144467,0.0144776,0.927032,0.950693,0.974453,10468.3,6397.16,1.00039
alpha_std[14],1.02229,0.00018882,0.0159508,0.0155451,0.996225,1.02215,1.04896,7362.88,5406.17,1.00055
alpha_std[15],0.0188216,0.00020241,0.0160899,0.0160763,-0.00777603,0.018867,0.04489,6400.84,6102.01,1.0
alpha_std[16],-0.00762144,0.000183319,0.0152193,0.0152921,-0.0326877,-0.00780744,0.0172889,6920.29,6406.18,1.00133
alpha_std[17],0.312868,0.000205546,0.0151322,0.0154813,0.288201,0.312677,0.337571,5603.29,6398.48,0.999848
alpha_std[18],0.931264,0.000145298,0.014488,0.0144598,0.907727,0.931335,0.955134,9982.3,7006.49,0.999999
alpha_std[19],0.980883,0.000151038,0.0144495,0.014293,0.956833,0.981006,1.00463,9201.82,6974.14,0.999866
alpha_std[20],0.828735,0.000179323,0.0155778,0.0154346,0.803329,0.82858,0.85463,7635.94,4458.41,1.00128
alpha_std[21],0.156063,0.000189336,0.0147162,0.0148356,0.131892,0.156087,0.180696,6172.75,5804.62,1.001
alpha_std[22],0.239617,0.000183975,0.0147765,0.0145665,0.215255,0.239557,0.263767,6519.78,5438.77,1.00011
alpha_std[23],0.613566,0.00018033,0.0149731,0.0148082,0.588904,0.613544,0.638277,6986.93,6172.88,0.999912
alpha_std[24],0.66439,0.000180714,0.0151447,0.0151107,0.639984,0.664257,0.68919,7203.56,6505.25,0.999936
alpha_std[25],0.602815,0.000196581,0.0151363,0.0151448,0.578012,0.602578,0.62758,6106.49,5813.09,1.00056
alpha_std[26],0.578585,0.000170775,0.0152714,0.0151158,0.553435,0.578469,0.603881,8070.98,6141.85,1.00051
alpha_std[27],0.464619,0.000173385,0.0150775,0.0151818,0.440071,0.464581,0.489439,7673.54,6440.1,0.999967
alpha_std[28],0.729002,0.000178458,0.0153883,0.0154665,0.704325,0.728881,0.754517,7528.36,6298.34,1.00027
