task,mean_value,std_value,count
reading-comprehension,0.3658062214520459,0.20413574790776362,23650
named-entity-recognition,0.4692653762598241,0.20453237624625953,26710
linguistic-acceptability,0.5885290174151934,0.09604808987860766,26790
summarization,0.6118603660095688,0.10457510591013196,21590
common-sense-reasoning,0.6275916291026921,0.1349026663887944,23220
knowledge,0.6368767950973966,0.12794410942028492,30260
sentiment-classification,0.7165086729859296,0.14162513303917007,26540
