,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
y_pred[6055],0.511742,0.00164381,0.135814,0.139959,0.285597,0.511937,0.73557,6841.51,7444.95,1.00052
y_pred[6056],0.439976,0.00318576,0.285927,0.362768,0.0307728,0.41564,0.920415,8131.66,8024.34,1.0001
y_pred[6057],0.475328,0.00449328,0.39668,0.620585,0.000168726,0.440607,0.999482,7871.7,7494.91,1.00026
y_pred[6058],0.359909,0.00446171,0.384834,0.257495,1.60482e-06,0.173704,0.996954,7788.94,7639.89,1.00026
y_pred[6059],0.488074,0.00377641,0.335799,0.475363,0.0116442,0.475579,0.984742,8013.18,8014.31,0.999792
y_pred[6060],0.520483,0.00424189,0.377819,0.585547,0.00224502,0.534939,0.999199,7833.76,7645.6,0.999851
y_pred[6061],0.67744,0.00388942,0.339318,0.263604,0.0330974,0.821052,0.999954,7605.02,7791.76,1.00008
y_pred[6062],0.408775,0.00146475,0.134291,0.142722,0.195583,0.404819,0.635102,8448.05,7872.36,0.999911
y_pred[6063],0.259116,0.00286146,0.252312,0.224647,0.00220115,0.175888,0.784989,7927.41,7855.52,1.00084
y_pred[6064],0.288746,0.00396572,0.35856,0.109843,1.36344e-07,0.0740888,0.986689,8271.74,7895.49,0.999805
y_pred[6065],0.207687,0.00375719,0.327967,0.0130686,1.06099e-11,0.00881466,0.968778,7527.57,7982.69,0.999905
y_pred[6066],0.301436,0.0034584,0.307129,0.263199,0.000422756,0.183855,0.911732,8011.14,7794.77,1.0003
y_pred[6067],0.337036,0.00398696,0.356657,0.267479,2.6402e-05,0.180947,0.984172,8063.6,7849.43,1.00054
y_pred[6068],0.491305,0.00406401,0.366006,0.55561,0.00247128,0.480189,0.995582,8152.6,7791.66,1.00072
y_pred[6069],0.236227,0.00130102,0.116217,0.117813,0.073499,0.221741,0.451363,7963.33,7611.88,0.999723
y_pred[6070],0.523128,0.00321682,0.286559,0.358957,0.0601778,0.533713,0.957172,7949.47,7809.43,0.999803
y_pred[6071],0.549591,0.00449951,0.393665,0.555243,0.000801982,0.618129,0.999944,7928.95,7765.34,0.999996
y_pred[6072],0.433623,0.00442765,0.396099,0.493989,2.55033e-05,0.335441,0.9991,8236.5,7961.72,1.00009
y_pred[6073],0.568346,0.00375933,0.333552,0.442565,0.0262154,0.619028,0.994586,7901.43,8057.99,1.00001
y_pred[6074],0.604983,0.0042753,0.36603,0.418979,0.00939947,0.711345,0.99984,7492.42,7579.7,0.999926
y_pred[6075],0.741301,0.00361682,0.3199,0.128054,0.0666137,0.91359,0.999996,7841.43,7813.86,0.999776
y_pred[6076],0.486585,0.00155926,0.137723,0.14425,0.261629,0.485224,0.712907,7816.52,7878.87,1.0001
y_pred[6077],0.719422,0.00294831,0.257186,0.250498,0.206071,0.799385,0.996481,7518.51,7319.71,1.00037
y_pred[6078],0.745885,0.00389547,0.34566,0.063479,0.0182667,0.957184,1.0,8004.79,7786.67,1.00023
y_pred[6079],0.639416,0.00431554,0.38579,0.257642,0.0027172,0.826204,0.999999,8134.29,7645.99,0.999856
y_pred[6080],0.75566,0.00324411,0.28864,0.157774,0.124716,0.892764,0.99995,7850.97,7730.04,0.999901
y_pred[6081],0.783719,0.00350048,0.311186,0.0504425,0.0678261,0.965977,1.0,7570.12,7834.5,1.00086
y_pred[6082],0.87381,0.00269079,0.241197,0.00487775,0.225532,0.99671,1.0,8012.64,7971.25,0.999884
