task,mean_value,std_value,count
reading-comprehension,0.40781014866095205,0.16934971476675625,11050
named-entity-recognition,0.5378508404460837,0.16307811381601225,12050
linguistic-acceptability,0.6182268514857832,0.09616852045924788,12050
summarization,0.6423921304759105,0.05109470302448197,10050
common-sense-reasoning,0.6724325707216063,0.13861033017886754,10800
knowledge,0.676047102234127,0.12694323964915516,12820
sentiment-classification,0.7553452736522759,0.13036686086292848,12000
